Item,Description,Quantity,Source,Unit Price,Total price
,,,,,
USB-C Charge Module ,USB-C charge module (from a vape),1,Salvaged,"0,00 €","0,00 €"
Printer Motor ,Motor from a printer,1,Salvaged,"0,00 €","0,00 €"
Switch,Simple on/off switch,1,Salvaged,"0,00 €","0,00 €"
Slide Potentiometer ,Variable resistor slider pot,1,Salvaged,"0,00 €","0,00 €"
,,,,,
White PLA,Brand = YUMI,492g,store purchase,20€/kg,"9,84 €"
Black PLA,Brand = YUMI,218g,store purchase,20€/kg,"4,36 €"
,,,,,
TOTAL PRICE = 14€20,,,,,
